player;club;position;minutes;age;goals;assists;xg;xg_assist;npxg;defense__tackles;defense__interceptions;passing__passes;passing__passes_completed;passing__progressive_passes;possession__carries;possession__progressive_carries;goals_p90;assists_p90;xg_p90;xg_assist_p90;npxg_p90;cluster
Lewis Hall;Newcastle Utd;DF;2,189;19;0;4;4;43;4;58;18;1592;1300;123;950;41;0,0;164,459;164,459;1767,931;164,459;0
Ali Al Hamadi;Ipswich Town;FW;134;22;0;0;4;1;4;1;0;30;25;3;29;4;0,0;0,0;2,687;0,672;2,687;1
Jack Harrison;Everton;FW;2,076;27;1;0;35;37;35;32;10;659;414;51;524;73;43,353;0,0;1517,341;1604,046;1517,341;0
Taylor Harwood-Bellis;Southampton;DF;2,825;22;1;0;18;10;18;28;30;2164;1892;125;1433;29;31,858;0,0;573,451;318,584;573,451;0
Kai Havertz;Arsenal;FW,MF;1,875;25;9;3;95;24;95;16;6;519;407;61;418;35;432,0;144,0;4560,0;1152,0;4560,0;2
Ayden Heaven;Manchester Utd;DF;170;17;0;0;1;0;1;4;4;106;90;7;95;1;0,0;0,0;0,529;0,0;0,529;1
Jan Paul van Hecke;Brighton;DF;2,958;24;1;1;13;15;13;45;24;2286;2016;228;1715;55;30,426;30,426;395,538;456,389;395,538;0
Hwang Hee-chan;Wolves;MF,FW;661;28;2;0;8;1;8;6;2;204;166;12;159;15;0,272;0,0;1,089;0,136;1,089;1
Dean Henderson;Crystal Palace;GK;3,420;27;0;0;0;2;0;2;0;1216;745;0;751;0;0,0;0,0;0,0;52,632;0,0;1
Rico Henry;Brentford;DF;99;27;0;0;0;0;0;2;1;49;33;4;30;0;0,0;0,0;0,0;0,0;0,0;1
Mads Hermansen;Leicester City;GK;2,385;24;0;0;0;0;0;1;0;1073;654;1;734;0;0,0;0,0;0,0;0,0;0,0;1
Son Heung-min;Tottenham;FW;2,110;32;7;9;72;82;57;17;5;925;730;111;761;96;298,578;383,886;3071,09;3497,63;2431,28;2
James Hill;Bournemouth;DF;448;22;0;1;3;3;3;15;9;245;159;16;146;3;0,0;0,201;0,603;0,603;0,603;1
Jack Hinshelwood;Brighton;MF,DF;1,842;19;5;2;27;15;27;27;16;1046;870;68;590;19;244,3;97,72;1319,218;732,899;1319,218;0
George Hirst;Ipswich Town;FW;661;25;3;1;21;3;21;3;2;122;69;13;101;9;0,408;0,136;2,859;0,408;2,859;1
Callum Hudson-Odoi;Nott'ham Forest;FW,MF;2,194;23;5;2;25;27;25;22;13;843;691;71;641;130;205,105;82,042;1025,524;1107,566;1025,524;0
Will Hughes;Crystal Palace;MF;2,108;29;0;3;11;31;11;66;22;970;737;87;532;20;0,0;128,083;469,639;1323,529;469,639;0
Dean Huijsen;Bournemouth;DF;2,427;19;3;2;19;20;19;36;51;1625;1355;132;1118;41;111,248;74,166;704,574;741,656;704,574;0
Omari Hutchinson;Ipswich Town;MF,FW;2,583;20;3;2;29;35;29;32;11;885;690;75;779;97;104,53;69,686;1010,453;1219,512;1010,453;0
Rasmus Højlund;Manchester Utd;FW;2,004;21;4;0;53;18;53;3;2;336;251;18;308;28;179,641;0,0;2380,24;808,383;2380,24;1
Igor;Brighton;DF;961;26;0;0;0;2;0;5;4;730;671;49;530;9;0,0;0,0;0,0;0,187;0,0;1
Danny Ings;West Ham;FW,MF;284;32;1;2;23;13;23;4;1;92;63;5;63;6;0,317;0,634;7,289;4,12;7,289;1
Tim Iroegbunam;Everton;MF;574;21;0;1;2;2;2;29;16;158;115;15;127;8;0,0;0,157;0,314;0,314;0,314;1
Andy Irving;West Ham;MF;166;24;0;0;1;2;1;7;1;124;109;9;73;0;0,0;0,0;0,542;1,084;0,542;1
Alexander Isak;Newcastle Utd;FW;2,756;24;23;6;203;43;172;12;3;689;519;88;615;83;751,089;195,936;6629,173;1404,209;5616,836;2
Alex Iwobi;Fulham;FW,MF;2,981;28;9;6;47;70;47;44;14;1532;1150;213;1312;144;271,721;181,147;1418,987;2113,385;1418,987;2
Nicolas Jackson;Chelsea;FW;2,220;23;10;5;123;43;123;22;3;399;303;38;417;47;405,405;202,703;4986,486;1743,243;4986,486;2
Reece James;Chelsea;DF,MF;1,063;24;1;1;4;7;4;10;13;854;717;64;486;7;84,666;84,666;338,664;592,662;338,664;1
Vitaly Janelt;Brentford;MF;2,254;26;1;3;8;22;8;38;27;1057;872;80;651;17;39,929;119,787;319,432;878,438;319,432;0
Daniel Jebbison;Bournemouth;FW;119;20;1;0;10;2;10;5;1;42;33;3;44;4;0,756;0,0;7,563;1,513;7,563;1
Mathias Jensen;Brentford;MF;862;28;0;2;2;17;2;14;8;486;363;61;300;6;0,0;0,209;0,209;1,775;0,209;1
Gabriel Jesus;Arsenal;FW;608;27;3;0;30;7;30;10;4;203;156;19;179;15;0,444;0,0;4,441;1,036;4,441;1
Raúl Jiménez;Fulham;FW;2,494;33;12;3;120;33;96;35;10;643;458;62;549;35;433,039;108,26;4330,393;1190,858;3464,314;2
João Pedro;Brighton;FW,MF;1,948;22;10;6;89;50;50;16;9;661;482;78;616;66;462,012;277,207;4111,91;2310,062;2310,062;2
Joelinton;Newcastle Utd;MF,FW;2,393;27;4;3;39;25;39;57;23;1043;863;116;729;40;150,439;112,829;1466,778;940,242;1466,778;0
Ben Johnson;Ipswich Town;DF,FW;1,354;24;1;2;11;13;11;38;13;416;298;27;259;16;66,47;132,939;731,167;864,106;731,167;1
Brennan Johnson;Tottenham;FW;2,177;23;11;3;104;23;104;39;4;638;449;71;544;60;454,754;124,024;4299,495;950,85;4299,495;2
Sam Johnstone;Wolves;GK;630;31;0;0;0;0;0;0;0;278;184;0;196;0;0,0;0,0;0,0;0,0;0,0;1
Curtis Jones;Liverpool;MF,DF;1,712;23;3;3;43;11;43;39;7;1097;1021;117;789;30;157,71;157,71;2260,514;578,271;2260,514;0
Jorginho;Arsenal;MF;704;32;0;0;1;4;1;12;7;474;411;48;302;12;0,0;0,0;0,128;0,511;0,128;1
Diogo Jota;Liverpool;FW;1,196;27;6;3;79;18;79;14;8;310;216;34;263;37;451,505;225,753;5944,816;1354,515;5944,816;2
James Justin;Leicester City;DF;2,912;26;2;2;15;8;15;58;46;1541;1205;91;866;39;61,813;61,813;463,599;247,253;463,599;0
Filip Jørgensen;Chelsea;GK;540;22;0;0;0;0;0;0;0;189;158;0;145;0;0,0;0,0;0,0;0,0;0,0;1
Ferdi Kadioglu;Brighton;DF,MF;385;24;1;0;4;2;4;10;8;175;144;15;124;1;0,234;0,0;0,935;0,468;0,935;1
Daichi Kamada;Crystal Palace;MF;1,564;27;0;0;11;19;11;47;18;752;603;89;485;25;0,0;0,0;632,992;1093,35;632,992;0
Boubacar Kamara;Aston Villa;MF;1,726;24;1;0;8;9;8;50;19;931;825;85;591;19;52,144;0,0;417,149;469,293;417,149;0
Michael Kayode;Brentford;DF;528;20;0;1;2;12;2;17;7;241;184;12;144;12;0,0;0,17;0,341;2,045;0,341;1
Michael Keane;Everton;DF;1,049;31;3;0;6;1;6;12;16;377;312;14;229;1;257,388;0,0;514,776;85,796;514,776;1
Caoimhín Kelleher;Liverpool;GK;900;25;0;0;0;0;0;0;0;382;289;0;290;0;0,0;0,0;0,0;0,0;0,0;1
Lloyd Kelly;Newcastle Utd;DF;303;25;0;1;4;5;4;5;1;181;146;9;120;0;0,0;0,297;1,188;1,485;1,188;1
Milos Kerkez;Bournemouth;DF;3,336;20;2;5;6;39;5;52;45;1776;1346;159;1094;106;53,957;134,892;161,871;1052,158;134,892;0
Bilal El Khannouss;Leicester City;MF,FW;2,182;20;2;3;13;46;13;50;6;1063;798;128;732;73;82,493;123,74;536,205;1897,342;536,205;0
Abdukodir Khusanov;Manchester City;DF;503;20;0;0;0;1;0;5;3;395;360;25;274;1;0,0;0,0;0,0;0,179;0,0;1
Max Kilman;West Ham;DF;3,348;27;0;1;16;12;16;39;38;1958;1697;113;1270;31;0,0;26,882;430,108;322,581;430,108;0
Joshua King;Fulham;MF;130;17;0;0;3;4;3;7;1;64;54;9;44;3;0,0;0,0;2,077;2,769;2,077;1
Antonín Kinský;Tottenham;GK;540;21;0;0;0;1;0;3;0;217;167;1;144;1;0,0;0,0;0,0;0,167;0,0;1
Jakub Kiwior;Arsenal;DF;1,122;24;1;0;2;3;2;22;6;736;673;48;492;5;80,214;0,0;160,428;240,642;160,428;1
Justin Kluivert;Bournemouth;MF;2,340;25;12;6;103;48;56;23;14;782;582;105;646;81;461,538;230,769;3961,538;1846,154;2153,846;2
Ibrahima Konaté;Liverpool;DF;2,560;25;1;2;17;10;17;40;17;1905;1718;115;1290;25;35,156;70,312;597,656;351,562;597,656;0
Ezri Konsa;Aston Villa;DF;2,936;26;2;0;13;4;13;34;24;1673;1555;90;1132;24;61,308;0,0;398,501;122,616;398,501;0
Mateo Kovačić;Manchester City;MF;2,198;30;6;2;19;36;19;69;24;1882;1742;164;1445;56;245,678;81,893;777,98;1474,067;777,98;0
Emil Krafth;Newcastle Utd;DF;342;29;0;0;0;1;0;4;2;158;124;8;82;5;0,0;0,0;0,0;0,263;0,0;1
Mohammed Kudus;West Ham;FW,MF;2,590;23;5;3;69;31;69;38;4;855;715;79;842;98;173,745;104,247;2397,683;1077,22;2397,683;2
Dejan Kulusevski;Tottenham;MF,FW;2,389;24;7;4;42;62;42;45;13;893;658;124;823;120;263,709;150,691;1582,252;2335,705;1582,252;2
Maxence Lacroix;Crystal Palace;DF;3,116;24;1;1;34;10;34;68;54;1477;1207;65;1030;8;28,883;28,883;982,028;288,832;982,028;0
Adam Lallana;Southampton;MF;361;36;0;2;2;9;2;8;5;260;221;24;178;6;0,0;0,499;0,499;2,244;0,499;1
Tariq Lamptey;Brighton;DF;860;23;2;2;4;8;4;17;7;413;335;14;292;32;0,209;0,209;0,419;0,837;0,419;1
Roméo Lavia;Chelsea;MF;797;20;0;1;3;7;3;22;16;424;389;31;295;3;0,0;0,113;0,339;0,79;0,339;1
Mario Lemina;Wolves;MF,DF;1,364;30;1;3;14;11;14;51;27;613;493;48;382;8;65,982;197,947;923,754;725,806;923,754;0
Bernd Leno;Fulham;GK;3,420;32;0;1;0;1;0;2;0;1404;1149;0;955;0;0,0;26,316;0,0;26,316;0,0;1
Jefferson Lerma;Crystal Palace;MF,DF;2,274;29;0;1;11;16;11;35;42;1121;844;97;649;13;0,0;39,578;435,356;633,245;435,356;0
Rico Lewis;Manchester City;DF,MF;1,893;19;1;2;14;3;14;30;13;1312;1201;107;865;39;47,544;95,087;665,61;142,631;665,61;0
Keane Lewis-Potter;Brentford;DF,FW;3,093;23;1;3;31;32;31;49;21;1273;982;98;868;98;29,098;87,294;902,037;931,135;902,037;0
Myles Lewis-Skelly;Arsenal;DF;1,369;17;1;0;2;4;2;22;7;776;708;71;526;37;65,741;0,0;131,483;262,966;131,483;1
Matthijs de Ligt;Manchester Utd;DF;2,123;24;2;0;25;3;25;30;33;1380;1241;55;1078;7;84,786;0,0;1059,821;127,179;1059,821;0
Victor Lindelöf;Manchester Utd;DF;704;30;0;0;0;1;0;7;8;386;362;26;263;5;0,0;0,0;0,0;0,128;0,0;1
Jesper Lindstrøm;Everton;FW;1,239;24;0;1;21;20;21;45;12;428;297;25;302;30;0,0;72,639;1525,424;1452,785;1525,424;1
Valentino Livramento;Newcastle Utd;DF;2,840;21;0;1;3;26;3;54;23;1643;1403;158;1023;83;0,0;31,69;95,07;823,944;95,07;0
Sean Longstaff;Newcastle Utd;MF;798;26;0;0;6;2;6;27;7;349;295;40;248;4;0,0;0,0;0,677;0,226;0,677;1
Saša Lukić;Fulham;MF;2,344;27;0;2;12;27;12;68;28;1260;1100;98;825;39;0,0;76,792;460,751;1036,689;460,751;0
Joe Lumley;Southampton;GK;270;29;0;0;0;0;0;0;0;151;106;0;103;0;0,0;0,0;0,0;0,0;0,0;1
Massimo Luongo;Ipswich Town;MF;201;31;0;0;0;0;0;9;2;66;50;6;46;0;0,0;0,0;0,0;0,0;0,0;1
Ian Maatsen;Aston Villa;DF;1,139;22;1;2;9;27;9;29;15;747;609;50;505;31;79,017;158,033;711,15;2133,45;711,15;0
Alexis Mac Allister;Liverpool;MF;2,599;25;5;5;28;47;28;95;22;1524;1273;177;915;36;173,144;173,144;969,604;1627,549;969,604;0
James Maddison;Tottenham;MF;1,809;27;9;7;58;42;58;31;12;1256;1021;164;1026;45;447,761;348,259;2885,572;2089,552;2885,572;2
Noni Madueke;Chelsea;FW;2,033;22;7;3;96;42;96;25;10;685;530;69;641;154;309,887;132,809;4249,877;1859,321;4249,877;2
Gabriel Magalhães;Arsenal;DF;2,363;26;3;1;26;9;26;25;16;1641;1480;126;1116;10;114,262;38,087;990,267;342,785;990,267;0
Edmond-Paris Maghoma;Brentford;MF,FW;119;23;0;0;1;1;1;2;1;84;76;13;68;4;0,0;0,0;0,756;0,756;0,756;1
Harry Maguire;Manchester Utd;DF;1,758;31;1;0;18;6;18;30;40;1128;965;51;782;7;51,195;0,0;921,502;307,167;921,502;0
Kobbie Mainoo;Manchester Utd;MF;1,651;19;0;0;7;16;7;46;19;836;723;65;652;22;0,0;0,0;381,587;872,199;381,587;0
Tyrell Malacia;Manchester Utd;DF;100;24;0;0;0;0;0;2;1;55;49;3;37;3;0,0;0,0;0,0;0,0;0,0;1
Donyell Malen;Aston Villa;FW;305;25;3;0;22;2;22;7;0;77;53;6;79;12;0,885;0,0;6,492;0,59;6,492;1
Orel Mangala;Everton;MF;1,261;26;1;0;11;6;11;16;21;490;437;34;298;6;71,372;0,0;785,091;428,232;785,091;1
Ryan Manning;Southampton;DF,MF;1,462;28;0;1;3;32;3;28;17;803;619;35;483;14;0,0;61,56;184,679;1969,904;184,679;0
Solly March;Brighton;FW,MF;168;30;0;0;1;3;1;6;2;95;60;2;57;5;0,0;0,0;0,536;1,607;0,536;1
Omar Marmoush;Manchester City;FW,MF;1,175;25;7;0;55;28;55;13;6;318;252;37;320;29;536,17;0,0;4212,766;2144,681;4212,766;2
Gabriel Martinelli;Arsenal;FW,MF;2,290;23;8;4;74;50;74;23;5;699;499;52;670;124;314,41;157,205;2908,297;1965,066;2908,297;2
Emiliano Martínez;Aston Villa;GK;3,194;31;0;0;0;5;0;3;0;1387;1091;4;889;0;0,0;0,0;0,0;140,889;0,0;1
Lisandro Martínez;Manchester Utd;DF;1,751;26;2;1;13;11;13;40;32;1342;1200;117;1017;23;102,798;51,399;668,19;565,391;668,19;0
Pape Matar Sarr;Tottenham;MF;1,913;21;3;2;37;16;37;49;30;1029;889;88;772;33;141,14;94,093;1740,721;752,744;1740,721;0
Jean-Philippe Mateta;Crystal Palace;FW;2,648;27;14;2;135;32;119;18;2;447;291;52;400;45;475,831;67,976;4588,369;1087,613;4044,562;2
Stephy Mavididi;Leicester City;FW;1,615;26;4;1;18;26;18;34;11;613;460;57;583;91;222,91;55,728;1003,096;1448,916;1003,096;0
Konstantinos Mavropanos;West Ham;DF;2,045;26;0;0;15;5;15;35;40;1265;1092;61;864;17;0,0;0,0;660,147;220,049;660,147;0
Noussair Mazraoui;Manchester Utd;DF;2,838;26;0;1;7;15;7;115;34;1781;1526;115;1172;42;0,0;31,712;221,987;475,687;221,987;0
Bryan Mbeumo;Brentford;FW;3,414;24;20;7;123;83;75;49;14;1319;872;141;1077;130;527,241;184,534;3242,531;2188,049;1977,153;2
James Mcatee;Manchester City;MF,FW;349;21;3;0;28;5;28;5;2;125;100;7;96;7;0,774;0,0;7,221;1,289;7,221;1
Kasey McAteer;Leicester City;FW;852;22;1;1;10;7;10;23;5;252;183;14;224;19;0,106;0,106;1,056;0,739;1,056;1
Alex McCarthy;Southampton;GK;450;34;0;0;0;0;0;0;0;156;117;0;100;0;0,0;0,0;0,0;0,0;0,0;1
John McGinn;Aston Villa;MF,FW;2,223;29;1;4;31;35;28;33;14;854;699;103;581;32;40,486;161,943;1255,061;1417,004;1133,603;0
Dwight McNeil;Everton;MF,FW;1,371;24;4;6;11;52;11;13;6;619;461;69;443;38;262,582;393,873;722,101;3413,567;722,101;2
Ben Mee;Brentford;DF;183;34;0;0;0;0;0;2;4;120;93;11;78;3;0,0;0,0;0,0;0,0;0,0;1
Mikel Merino;Arsenal;MF,FW;1,586;28;7;2;59;20;59;46;15;577;451;69;388;11;397,226;113,493;3348,045;1134,931;3348,045;2
Nikola Milenković;Nott'ham Forest;DF;3,330;26;5;2;40;11;40;51;27;1033;850;51;547;3;135,135;54,054;1081,081;297,297;1081,081;0
Lewis Miley;Newcastle Utd;MF;313;18;1;0;5;0;5;14;2;191;168;17;112;2;0,288;0,0;1,438;0,0;1,438;1
James Milner;Brighton;MF;170;38;0;0;2;2;2;5;2;74;55;10;47;1;0,0;0,0;1,059;1,059;1,059;1
Tyrone Mings;Aston Villa;DF;1,120;31;0;0;8;2;8;7;7;676;596;40;484;7;0,0;0,0;642,857;160,714;642,857;1
Yankuba Minteh;Brighton;FW,MF;1,838;20;6;4;41;50;41;48;11;557;348;48;481;90;293,798;195,865;2007,617;2448,313;2007,617;2
Tyrick Mitchell;Crystal Palace;DF;3,092;24;0;5;13;64;13;91;19;1355;976;70;820;63;0,0;145,537;378,396;1862,872;378,396;0
Kaoru Mitoma;Brighton;FW,MF;2,603;27;10;4;92;46;92;45;14;988;749;89;830;146;345,755;138,302;3180,945;1590,473;3180,945;2
Jeremy Monga;Leicester City;FW,MF;112;15;0;0;2;0;2;2;0;29;18;3;37;6;0,0;0,0;1,607;0,0;1,607;1
Mikey Moore;Tottenham;FW;366;16;0;1;2;3;2;2;1;96;67;9;106;12;0,0;0,246;0,492;0,738;0,492;1
Morato;Nott'ham Forest;DF;907;23;0;0;2;0;2;22;10;309;238;19;164;1;0,0;0,0;0,198;0,0;0,198;1
Álex Moreno;Nott'ham Forest;DF,MF;955;31;0;1;2;13;2;25;15;428;308;34;229;26;0,0;0,094;0,188;1,225;0,188;1
Sam Morsy;Ipswich Town;MF;2,751;32;1;1;4;12;4;68;29;1445;1249;120;852;22;32,715;32,715;130,862;392,585;130,862;0
Yerson Mosquera;Wolves;DF;441;23;0;0;3;1;3;11;10;240;205;7;168;0;0,0;0,0;0,612;0,204;0,612;1
Mason Mount;Manchester Utd;MF;622;25;1;0;32;6;32;15;4;253;207;33;215;15;0,145;0,0;4,63;0,868;4,63;1
Mykhailo Mudryk;Chelsea;FW;151;23;0;0;3;10;3;2;0;42;28;5;39;7;0,0;0,0;1,788;5,96;1,788;1
Marshall Munetsi;Wolves;MF,FW;1,078;28;2;1;33;18;33;24;6;212;152;10;148;9;166,976;83,488;2755,102;1502,783;2755,102;1
Rodrigo Muniz;Fulham;FW;964;23;8;1;58;7;58;10;5;142;92;27;157;6;0,747;0,093;5,415;0,654;5,415;1
Daniel Muñoz;Crystal Palace;DF;3,228;28;4;5;49;55;49;123;44;1492;1129;97;806;62;111,524;139,405;1366,171;1533,457;1366,171;0
Arijanet Muric;Ipswich Town;GK;1,620;25;0;0;0;0;0;0;0;633;454;1;405;0;0,0;0,0;0,0;0,0;0,0;1
Murillo;Nott'ham Forest;DF;3,188;22;2;0;14;12;14;53;36;1450;1138;115;821;22;56,462;0,0;395,232;338,77;395,232;0
Jacob Murphy;Newcastle Utd;FW;2,360;29;8;12;57;89;57;28;13;1004;688;83;733;79;305,085;457,627;2173,729;3394,068;2173,729;2
Vitaliy Mykolenko;Everton;DF;3,082;25;1;2;5;26;5;63;44;1322;986;110;697;33;29,202;58,404;146,009;759,247;146,009;0
Iliman Ndiaye;Everton;FW;2,430;24;9;0;62;19;47;53;20;736;602;59;621;86;333,333;0,0;2296,296;703,704;1740,741;2
Wilfred Ndidi;Leicester City;MF;2,324;27;0;5;20;19;20;85;31;1045;839;70;670;18;0,0;193,632;774,527;735,8;774,527;0
Kosta Nedeljković;Aston Villa;DF;126;18;0;0;0;0;0;7;0;53;47;6;27;1;0,0;0,0;0,0;0,0;0,0;1
Reiss Nelson;Fulham;FW;487;24;1;1;11;10;11;8;5;268;232;35;259;45;0,185;0,185;2,033;1,848;2,033;1
Neto;Bournemouth;GK;180;35;0;0;0;0;0;0;0;62;40;0;35;0;0,0;0,0;0,0;0,0;0,0;1
Pedro Neto;Chelsea;FW;2,269;24;4;6;35;67;35;23;9;895;702;60;746;126;158,66;237,99;1388,277;2657,558;1388,277;2
Eddie Nketiah;Crystal Palace;FW,MF;1,034;25;3;1;58;17;58;15;3;241;179;19;246;41;261,122;87,041;5048,356;1479,691;5048,356;2
Christopher Nkunku;Chelsea;FW;921;26;3;2;48;21;48;12;7;334;299;25;280;17;0,293;0,195;4,691;2,052;4,691;1
Matheus Nunes;Manchester City;DF,MF;1,674;25;1;6;12;44;12;35;15;1234;1065;79;866;63;53,763;322,581;645,161;2365,591;645,161;0
Darwin Núñez;Liverpool;FW;1,133;25;5;2;58;13;58;21;4;230;163;27;201;23;397,176;158,87;4607,237;1032,657;4607,237;2
Ethan Nwaneri;Arsenal;FW,MF;895;17;4;2;12;12;12;11;2;425;342;33;365;46;0,402;0,201;1,207;1,207;1,207;1
Christian Nørgaard;Brentford;MF;2,819;30;5;4;43;13;43;79;49;1427;1164;154;826;14;159,631;127,705;1372,827;415,041;1372,827;0
Jake O'Brien;Everton;DF;1,571;23;2;0;8;6;8;26;4;725;577;50;391;7;114,577;0,0;458,307;343,73;458,307;1
Matt O'Riley;Brighton;MF;938;23;2;2;28;24;20;16;13;413;316;38;275;22;0,192;0,192;2,687;2,303;1,919;1
Dara O'Shea;Ipswich Town;DF;3,122;25;0;2;13;5;13;49;33;1579;1234;80;897;3;0,0;57,655;374,76;144,138;374,76;0
Chidozie Obi-Martin;Manchester Utd;FW;165;16;0;0;7;0;7;2;0;24;20;1;22;2;0,0;0,0;3,818;0,0;3,818;1
Wilson Odobert;Tottenham;FW,MF;850;19;1;0;16;10;16;14;4;274;212;27;265;45;0,106;0,0;1,694;1,059;1,694;1
Chiedozie Ogbene;Ipswich Town;FW;238;27;0;0;0;1;0;7;1;43;32;0;41;7;0,0;0,0;0,0;0,378;0,0;1
Caleb Okoli;Leicester City;DF;1,125;23;1;0;6;0;6;25;15;648;559;32;468;3;80,0;0,0;480,0;0,0;480,0;1
Robin Olsen;Aston Villa;GK;226;34;0;0;0;0;0;1;0;101;65;0;50;0;0,0;0,0;0,0;0,0;0,0;1
Amadou Onana;Aston Villa;MF;1,617;22;3;0;21;7;21;55;26;802;703;75;553;29;166,976;0,0;1168,831;389,61;1168,831;0
André Onana;Manchester Utd;GK;3,060;28;0;0;0;2;0;2;0;1306;948;1;961;0;0,0;0,0;0,0;58,824;0,0;1
Paul Onuachu;Southampton;FW;1,050;30;4;1;36;5;36;7;1;263;160;13;214;7;342,857;85,714;3085,714;428,571;3085,714;1
Stefan Ortega;Manchester City;GK;1,100;31;0;0;0;0;0;0;0;459;373;0;323;0;0,0;0,0;0,0;0,0;0,0;1
William Osula;Newcastle Utd;FW;134;20;1;0;2;1;2;2;4;29;18;4;37;5;0,672;0,0;1,343;0,672;1,343;1
Dango Ouattara;Bournemouth;FW;2,005;22;7;4;84;55;84;35;11;612;367;43;492;79;314,214;179,551;3770,574;2468,828;3770,574;2
Nico O’Reilly;Manchester City;DF;528;19;2;0;13;4;13;9;4;353;305;17;249;16;0,341;0,0;2,216;0,682;2,216;1
Alex Palmer;Ipswich Town;GK;1,170;27;0;0;0;0;0;0;0;423;299;1;210;0;0,0;0,0;0,0;0,0;0,0;1
Cole Palmer;Chelsea;MF,FW;3,191;22;15;8;173;109;133;34;11;1480;1140;214;1173;120;423,065;225,635;4879,348;3074,271;3751,175;2
Emerson Palmieri;West Ham;DF;2,113;29;2;1;20;15;20;60;21;1077;861;66;555;47;85,187;42,593;851,869;638,902;851,869;0
Lucas Paquetá;West Ham;MF,FW;2,380;26;4;0;53;31;37;66;18;1456;1126;155;921;26;151,261;0,0;2004,202;1172,269;1399,16;0
Thomas Partey;Arsenal;MF,DF;2,797;31;4;2;23;21;23;89;35;1920;1678;185;1256;36;128,709;64,355;740,079;675,724;740,079;0
Nathan Patterson;Everton;DF;347;22;0;1;1;4;1;11;2;176;130;13;95;6;0,0;0,259;0,259;1,037;0,259;1
Andreas Pereira;Fulham;MF;2,013;28;2;4;38;46;30;24;8;970;670;104;578;29;89,419;178,838;1698,957;2056,632;1341,282;0
Ricardo Pereira;Leicester City;DF;388;30;0;0;1;0;1;13;4;248;207;18;151;3;0,0;0,0;0,232;0,0;0,232;1
Kalvin Phillips;Ipswich Town;MF;1,237;28;0;0;4;2;4;35;19;551;436;51;310;4;0,0;0,0;291,027;145,513;291,027;1
Jaden Philogene Bidace;Aston Villa;FW,MF;332;22;0;0;5;3;5;11;3;86;63;4;75;7;0,0;0,0;1,355;0,813;1,355;1
Jaden Philogene Bidace;Ipswich Town;FW,DF;474;22;2;0;20;2;20;14;10;131;95;10;127;13;0,38;0,0;3,797;0,38;3,797;1
Jordan Pickford;Everton;GK;3,420;30;0;1;0;4;0;1;1;1595;1057;0;989;0;0,0;26,316;0,0;105,263;0,0;1
Ethan Pinnock;Brentford;DF;1,913;31;2;0;11;12;11;35;24;1080;924;41;633;3;94,093;0,0;517,512;564,558;517,512;0
Nick Pope;Newcastle Utd;GK;2,520;32;0;0;0;0;0;0;1;782;575;1;439;0;0,0;0,0;0,0;0,0;0,0;1
Pedro Porro;Tottenham;DF;2,610;24;2;6;16;50;16;66;36;1892;1385;154;1187;65;68,966;206,897;551,724;1724,138;551,724;0
Jarell Quansah;Liverpool;DF;495;21;0;0;1;1;1;12;7;392;356;19;268;3;0,0;0,0;0,182;0,182;0,182;1
Aaron Ramsdale;Southampton;GK;2,700;26;0;0;0;0;0;0;2;1223;774;0;786;0;0,0;0,0;0,0;0,0;0,0;1
Jacob Ramsey;Aston Villa;FW,MF;1,623;23;1;3;16;23;16;30;8;586;497;68;496;61;55,453;166,359;887,246;1275,416;887,246;0
Marcus Rashford;Manchester Utd;FW,MF;978;26;4;1;17;21;17;7;4;343;253;21;293;20;0,368;0,092;1,564;1,933;1,564;1
Marcus Rashford;Aston Villa;FW;444;26;2;2;31;23;23;10;1;164;117;13;127;22;0,405;0,405;6,284;4,662;4,662;1
David Raya;Arsenal;GK;3,420;28;0;0;0;0;0;0;2;1413;1040;14;921;0;0,0;0,0;0,0;0,0;0,0;1
Harrison Reed;Fulham;MF;108;29;0;0;2;1;2;6;1;55;39;4;31;1;0,0;0,0;1,667;0,833;1,667;1
Sergio Reguilón;Tottenham;DF;196;27;0;0;1;0;1;4;4;136;93;13;88;5;0,0;0,0;0,459;0,0;0,459;1
Declan Rice;Arsenal;MF;2,825;25;4;7;35;66;35;53;25;1650;1376;192;1031;90;127,434;223,009;1115,044;2102,655;1115,044;0
Chris Richards;Crystal Palace;DF;1,922;24;1;0;14;1;14;47;19;857;684;39;517;6;46,826;0,0;655,567;46,826;655,567;1
Richarlison;Tottenham;FW;504;27;4;1;37;9;37;5;0;103;62;11;89;8;0,714;0,179;6,607;1,607;6,607;1
Andrew Robertson;Liverpool;DF;2,482;30;0;1;12;46;12;39;21;1885;1559;176;1107;64;0,0;36,261;435,133;1668,01;435,133;0
Antonee Robinson;Fulham;DF;3,167;26;0;10;7;42;7;95;62;2076;1595;131;1343;118;0,0;284,181;198,926;1193,559;198,926;0
Jay Robinson;Southampton;MF,FW;137;17;0;0;0;7;0;4;0;34;23;1;33;3;0,0;0,0;0,0;4,599;0,0;1
Guido Rodríguez;West Ham;MF;1,149;30;0;1;2;2;2;36;13;569;480;33;327;4;0,0;78,329;156,658;156,658;156,658;1
Mads Roerslev;Brentford;DF;1,101;25;0;2;2;30;2;18;4;536;422;51;352;17;0,0;163,488;163,488;2452,316;163,488;1
Morgan Rogers;Aston Villa;FW,MF;3,114;22;8;10;66;78;66;43;6;907;664;123;794;114;231,214;289,017;1907,514;2254,335;1907,514;2
